,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
D64_y,344.381,344.334,343.584,343.004,343.151,342.166,342.931,345.506,355.314,363.391,362.435,352.723,365.103,362.788,360.362,353.92,369.633,379.165,386.987,395.932
D65_x,470.214,463.248,463.248,463.248,463.248,463.248,463.248,463.248,464.05,464.507,470.298,474.685,480.095,474.227,467.721,448.883,436.197,434.623,434.003,433.699
D65_y,158.687,156.046,156.046,156.046,156.046,156.046,156.046,156.046,154.427,151.289,145.434,147.127,153.87,169.506,150.136,152.832,147.9,147.844,148.651,148.516
D66_x,73.6528,67.513,62.7791,57.9155,52.9903,48.0323,43.0557,38.3352,41.8846,49.9038,51.6322,50.7856,51.1302,52.9303,53.0462,53.0998,53.14,54.6152,54.414,54.3788
D66_y,245.256,229.698,228.097,226.942,226.084,225.439,224.958,224.916,226.29,222.998,224.469,224.983,225.18,223.523,223.437,223.359,223.296,221.643,222.149,222.137
D67_x,454.53,455.782,455.784,455.804,455.827,455.803,455.757,455.741,456.035,456.724,454.028,454.458,455.359,454.345,450.818,451.524,450.044,447.891,445.284,444.83
D67_y,104.124,95.7474,95.7485,95.6852,95.6636,95.6857,95.7287,95.7432,95.4573,94.6072,101.238,101.946,104.594,100.244,81.3241,81.0586,83.7515,85.2815,85.7921,86.1003
D68_x,21.4006,20.2611,19.3464,20.6882,22.4259,21.7512,24.7171,27.4434,29.0459,30.3943,30.3943,30.3943,30.3943,30.3943,30.3943,30.3943,30.3943,30.3942,30.3942,30.3942
D68_y,146.95,144.184,141.266,140.092,139.016,137.036,138.768,140.593,139.221,139.692,139.692,139.692,139.692,139.692,139.692,139.692,139.692,139.692,139.692,139.692
D69_x,440.355,446.762,445.436,439.798,433.806,435.254,434.231,435.028,442.37,444.497,447.136,451.537,466.534,478.393,487.508,478.854,483.939,477.837,485.629,487.378
D69_y,466.005,467.566,465.612,457.811,472.761,479.463,478.394,468.83,464.439,466.684,466.423,466.085,468.426,461.56,449.161,459.087,455.034,465.953,482.847,500.716
D70_x,103.332,100.165,100.938,100.713,100.676,100.683,100.682,100.703,100.827,100.93,101.256,101.25,101.285,101.289,100.822,100.924,100.944,100.792,100.46,100.393
D70_y,122.026,119.887,120.009,120.171,122.075,122.126,122.126,122.267,122.869,123.225,124.111,124.449,124.528,124.537,124.78,126.001,126.318,127.073,128.475,128.765
D71_x,266.216,261.562,257.717,262.25,261.565,271.29,272.459,263.55,246.178,250.83,256.308,275.267,278.017,285.097,282.087,274.679,277.022,268.294,266.826,265.551
D71_y,298.202,296.379,294.746,291.285,284.216,310.176,299.398,276.813,281.046,285.459,270.181,257.372,253.807,250.505,248.936,236.678,233.993,239.354,235.551,226.57
D72_x,370.651,364.679,358.596,353.676,351.798,353.056,356.267,357.854,357.089,368.587,371.814,377.579,376.501,380.851,378.246,368.208,361.85,363.719,368.54,361.823
D72_y,409.913,413.953,419.401,427.38,437.103,446.989,456.309,459.78,461.404,461.966,463.559,463.802,461.072,469.399,474.711,475.13,474.328,476.155,471.774,469.716
D73_x,16.4766,16.4766,16.4766,16.4766,16.4766,16.4766,16.4766,16.4766,16.4766,16.4766,16.4766,16.4766,16.4678,16.4005,16.2315,15.9581,14.6993,15.3784,15.0994,16.7394
D73_y,489.801,489.801,489.801,489.801,489.801,489.801,489.801,489.801,489.801,489.801,489.801,489.801,489.786,489.67,489.402,489.021,487.793,490.205,489.323,494.93
D74_x,137.517,138.053,131.017,124.178,123.869,123.34,123.296,123.289,123.289,123.289,123.289,123.289,123.289,123.285,123.266,123.207,123.267,123.135,123.077,122.746
D74_y,140.778,118.659,116.625,112.067,111.723,111.631,111.579,111.577,111.577,111.577,111.577,111.577,111.577,111.575,111.57,111.556,111.57,112.316,112.407,110.301
D75_x,141.533,164.586,163.126,150.861,150.051,145.593,144.474,143.273,143.273,143.273,143.273,143.273,142.732,141.14,138.443,137.609,137.857,137.97,137.477,137.919
D75_y,151.442,144.464,128.795,125.668,125.395,125.734,125.87,125.844,125.844,125.844,125.844,125.844,125.834,125.824,126.437,126.869,126.152,125.869,124.361,122.584
D76_x,351.668,347.923,347.922,347.922,347.922,347.922,348.768,348.15,345.399,342.235,341.711,340.84,340.481,340.481,340.186,338.664,337.03,336.499,335.767,335.388
D76_y,81.1182,83.3073,83.3101,83.3101,83.3101,83.3101,82.6505,79.0778,74.8245,70.2616,69.6326,69.1446,68.9359,68.9359,68.7234,68.2766,68.3977,68.6252,68.639,68.6712
D77_x,206.025,206.361,207.493,214.601,196.978,217.496,219.838,212.181,197.851,187.977,188.369,194.227,201.44,213.004,210.912,215.741,217.009,221.896,228.529,236.056
